# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Apr 25 20:57:46 UTC 2025
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00031003 -1.70000 10.07918 0.7881930470 2.4145240490    0.787  0.497  3.8063  4.014    0 3.528 3.502 3.721 3.127
0.00031003 -1.70000 10.07918 0.7888511419 2.4147619774    0.787  0.507  3.8052  4.000    0 3.502 3.476 3.696 3.098
0.00031003 -1.70000 10.07918 0.7910658121 2.4155593294    0.789  0.545  3.8002  3.943    0 3.407 3.379 3.607 2.992
0.00031003 -1.70000 10.07918 0.7927622199 2.4161666264    0.791  0.579  3.7942  3.886    0 3.323 3.294 3.531 2.895
0.00031003 -1.70000 10.07918 0.7940919399 2.4166405673    0.792  0.609  3.7871  3.828    0 3.248 3.218 3.466 2.805
0.00031003 -1.70000 10.07918 0.7951646447 2.4170215743    0.793  0.636  3.7794  3.771    0 3.180 3.151 3.411 2.722
0.00031003 -1.70000 10.07918 0.7960650921 2.4173404868    0.794  0.660  3.7717  3.716    0 3.119 3.091 3.364 2.645
0.00031003 -1.70000 10.07918 0.7968597412 2.4176212402    0.795  0.685  3.7642  3.662    0 3.057 3.030 3.317 2.570
0.00031003 -1.70000 10.07918 0.7975650430 2.4178698880    0.795  0.712  3.7573  3.608    0 2.989 2.964 3.263 2.489
0.00031003 -1.70000 10.07918 0.7982636690 2.4181156842    0.796  0.748  3.7509  3.547    0 2.900 2.877 3.188 2.389
0.00031003 -1.70000 10.07918 0.7988152504 2.4183093967    0.797  0.784  3.7467  3.494    0 2.809 2.788 3.107 2.291
0.00031003 -1.70000 10.07918 0.7991923690 2.4184416618    0.797  0.813  3.7442  3.455    0 2.739 2.718 3.042 2.216
0.00031003 -1.70000 10.07918 0.7993643880 2.4185019456    0.797  0.827  3.7432  3.437    0 2.702 2.681 3.007 2.178
0.00031003 -1.70000 10.07918 0.7998259068 2.4186635368    0.798  0.869  3.7409  3.387    0 2.598 2.579 2.909 2.070
0.00031003 -1.70000 10.07918 0.8003308177 2.4188400755    0.798  0.918  3.7386  3.328    0 2.475 2.456 2.791 1.943
