time,x,y,z,v_x,v_y,v_z
-933.9697265625,0.949124574482074,-36.147991017782694,-31.903618239655586,-0.001496799084603788,-0.00534965796853212,0.004534429394868166
-931.8994140625,0.9460254746490404,-36.159131294817,-31.894279333921506,-0.001496806347159067,-0.005348910118816445,0.004535050365330247
-930.087890625,0.943313762295136,-36.16887903722202,-31.88610779140419,-0.001496812701894936,-0.005348255750315229,0.004535593714484567
-928.017578125,0.9402146624621024,-36.18001931425633,-31.87676888567011,-0.0014968199644502147,-0.005347507900599554,0.004536214684946648
-925.947265625,0.9371155626290687,-36.19115959129063,-31.86742997993603,-0.0014968272270054937,-0.005346760050883879,0.0045368356554087285
-923.876953125,0.9340164627960351,-36.202299868324936,-31.85809107420195,-0.0014968344895607724,-0.005346012201168205,0.004537456625870809
-922.0654296875,0.9313047504421308,-36.212047610729954,-31.849919531684634,-0.0014968408442966416,-0.0053453578326669885,0.00453799997502513
-919.9951171875,0.9282056506090972,-36.22318788776426,-31.840580625950555,-0.0014968481068519204,-0.005344609982951314,0.00453862094548721
-917.9248046875,0.9251065507760635,-36.23432816479856,-31.83124172021648,-0.0014968553694071993,-0.005343862133235639,0.0045392419159492915
-916.11328125,0.9223948384221591,-36.24407590720358,-31.823070177699158,-0.0014968617241430684,-0.005343207764734424,0.004539785265103612
-914.04296875,0.9192957385891255,-36.25521618423789,-31.813731271965082,-0.0014968689866983473,-0.005342459915018749,0.004540406235565692
-911.97265625,0.9161966387560919,-36.266356461272196,-31.804392366231003,-0.001496876249253626,-0.005341712065303074,0.004541027206027773
-909.90234375,0.9130975389230582,-36.277496738306496,-31.795053460496923,-0.001496883511808905,-0.0053409642155874,0.004541648176489854
-908.0908203125,0.9103858265691539,-36.287244480711514,-31.786881917979606,-0.001496889866544774,-0.005340309847086184,0.004542191525644175
-906.0205078125,0.9072867267361202,-36.29838475774582,-31.777543012245527,-0.001496897129100053,-0.00533956199737051,0.004542812496106255
-903.9501953125,0.9041876269030866,-36.30952503478013,-31.768204106511448,-0.0014969043916553317,-0.005338814147654834,0.004543433466568336
-901.8798828125,0.901088527070053,-36.32066531181444,-31.75886520077737,-0.0014969116542106109,-0.005338066297939159,0.004544054437030417
-900.068359375,0.8983768147161487,-36.33041305421945,-31.75069365826005,-0.0014969180089464797,-0.005337411929437944,0.004544597786184737
-897.998046875,0.895277714883115,-36.341553331253756,-31.74135475252597,-0.0014969252715017584,-0.005336664079722269,0.004545218756646818
-895.927734375,0.8921786150500814,-36.352693608288064,-31.732015846791896,-0.0014969325340570376,-0.005335916230006594,0.0045458397271088994
-894.1162109375,0.8894669026961771,-36.36244135069308,-31.723844304274575,-0.0014969388887929064,-0.005335261861505378,0.00454638307626322
-892.0458984375,0.8863678028631435,-36.37358162772739,-31.7145053985405,-0.0014969461513481854,-0.005334514011789703,0.0045470040467253
-889.9755859375,0.8832687030301098,-36.38472190476169,-31.70516649280642,-0.0014969534139034645,-0.00533376616207403,0.0045476250171873804
-887.9052734375,0.8801696031970763,-36.395862181796,-31.69582758707234,-0.0014969606764587433,-0.005333018312358355,0.004548245987649462
-886.09375,0.8774578908431718,-36.405609924201016,-31.687656044555023,-0.001496967031194612,-0.005332363943857139,0.004548789336803782
