index,pericenter,apocenter
2264,58.888098865718625,113.73746319059232
2265,58.127990289397054,111.05634711301933
2266,58.866986101981176,113.72760683295067
2267,56.49741765727731,105.67461097918253
2268,60.603171984820186,116.9197234725185
2269,57.801238438473334,107.95051600301447
2270,55.85297051211478,103.38561034034288
2271,58.043949777177886,111.54502031926327
2272,57.94926065610924,110.74612781684712
2273,57.372315388176034,108.17383081650497
2274,53.76519830266006,97.7248857151614
2275,56.65258867445559,105.6947462640342
2276,57.25652572092405,107.57915535201606
2277,55.5984450093014,102.45701408505906
2278,55.83543492102799,103.89499641882404
2279,53.93016306473311,98.07220309405848
2280,57.83670666762745,110.563322829636
2281,60.883797567433554,118.37504811492582
2282,52.63135082711384,94.58975764154924
2283,56.94423760778983,107.46851936853906
2284,57.603566498216566,108.76831151377547
2285,57.319701889023754,109.9809455273704
2286,52.48351013434574,94.45482318038765
2287,58.175829838040265,111.79250099584169
2288,57.65702106690602,108.82026343427921
2289,59.18402675833216,115.73162613808934
2290,55.252475773783935,102.36881490121986
2291,59.66449142906952,116.14044088721842
2292,57.26075784793342,108.3536012164871
2293,60.70214893769888,119.1995427399209
2294,55.84907141338044,104.6759476039855
2295,55.341910058082405,101.2341068888872
2296,55.218084152841705,102.1245944899423
2297,56.93284947425247,107.13176851442525
2298,57.229477397333845,110.47208641789682
2299,54.69799484043338,99.98959576360403
2300,58.883858642458506,112.40314736818878
2301,56.20104642802206,103.63966498264273
2302,59.44737271590113,114.58905465084331
2303,56.3621918212452,106.48634119774643
2304,59.59939622095021,116.37458902817254
2305,54.36515820101172,99.72010755764599
2306,57.55148026893732,109.86722715294795
2307,60.6342832244783,119.09577123961932
2308,59.89377659789658,114.24023586782852
2309,51.87660340676329,93.63849827808322
2310,59.14989042675519,117.56777756693546
2311,59.919294928957655,115.65832145384273
2312,59.756842756089625,116.98296985269724
2313,57.07308296695793,106.53021053106828
2314,53.42075778533658,97.8486168941407
2315,59.44802183302533,115.15218676123577
2316,58.39552709341476,110.13346475475464
2317,55.230768563280776,102.03273444214723
2318,60.62204976577511,119.59635328880469
2319,57.58086489713189,108.1943163141961
2320,58.32728357525182,112.10310205476796
2321,50.24563311492113,89.09953942675895
2322,59.12165147273441,115.51457296095654
2323,53.47754504408235,97.20598891978517
2324,53.93690869985945,97.89640765128141
2325,54.1784327581916,99.30272983783712
2326,59.33694054677011,114.33937746756001
2327,53.28171342362216,96.22432381326828
2328,56.42119117551117,106.626892261552
2329,58.19206101886156,112.29366562348271
2330,55.85680019501489,103.40609120153766
2331,54.63640784465199,100.31267077585143
2332,58.75133185170714,113.74796871849207
2333,55.0753254475979,101.8135565342553
2334,59.78474233317636,114.95411948928125
2335,57.45641279821,109.54495432527747
2336,52.67249216159113,94.91843778741658
