t,x,y,z,vx,vy,vz,phi
4.548454845484549,0.7016326295343036,22.34077921235335,-61.469063699289144,-33.91872943869122,-178.17472739348057,-150.13802384764665,-128444.4910752506
4.549454945494549,0.6669366175448053,22.158429301736714,-61.622320517983404,-33.9253481157063,-178.38987251379862,-149.53868995013204,-128825.25146225166
4.550455045504551,0.6322340139568398,21.975860546902837,-61.77496443553263,-33.93161379308003,-178.60265506741675,-148.93956543557914,-129209.59175251967
4.551455145514551,0.5975251922586835,21.793075358146478,-61.92699567121364,-33.93752759255963,-178.8130843770702,-148.3406603190778,-129597.56444711958
4.552455245524553,0.5628105206825871,21.61007613667966,-62.078414454490556,-33.94309082755847,-179.021169760543,-147.74198450043093,-129989.22327689249
4.5534553455345534,0.5280903273659701,21.426865278271688,-62.22922102492685,-33.94830690765259,-179.22692035430185,-147.14354776410892,-130384.62323448203
4.554455445544555,0.49336496287106996,21.243445166561585,-62.37941563201774,-33.9531779170592,-179.430345435943,-146.54535978112585,-130783.82062462809
4.555455545554556,0.4586347823197021,21.05981817498463,-62.528998535089656,-33.957705599616055,-179.63145432798885,-145.94743010934837,-131186.87310246937
4.556455645564556,0.4239001442251346,20.87598666690176,-62.677970003187696,-33.96189142725063,-179.83025638946364,-145.34976819412475,-131593.839716239
4.557455745574558,0.38916141280405775,20.69195299537052,-62.82633031496045,-33.96573647848674,-180.0267610247454,-144.75238336898548,-132004.78095228047
4.558455845584558,0.35441894904628496,20.507719504095643,-62.97407975854546,-33.96924189831391,-180.2209776381104,-144.15528485630006,-132419.7587796602
4.559455945594559,0.31967307503238884,20.323288531092945,-63.12121863145778,-33.972410734185765,-180.41291546578162,-143.55848176780796,-132838.83669109782
4.56045604560456,0.2849241294179659,20.138662402874075,-63.267747240474506,-33.97524504607093,-180.60258384473192,-142.96198310557602,-133262.07976360832
4.561456145614561,0.25017245252400366,19.953843436026265,-63.41366590152356,-33.977746668105894,-180.78999213899328,-142.36579776263872,-133689.55470772917
4.5624562456245625,0.21541838517606987,19.768833937341714,-63.558974939572536,-33.97991725176947,-180.9751497337973,-141.7699345237047,-134121.3299214408
4.563456345634563,0.1806622652673,19.583636204121316,-63.70367468851869,-33.98175852264139,-181.1580660114343,-141.17440206583464,-134557.47554589243
4.564456445644565,0.14590441689894962,19.398252525114888,-63.84776549108483,-33.983273059943556,-181.33875028398143,-140.57920895903464,-134998.06352193118
4.565456545654565,0.11114517332144055,19.2126851784048,-63.991247698701734,-33.984462716916525,-181.51721193109384,-139.98436366718713,-135443.16765557163
4.566456645664567,0.076384872755064,19.026936431783458,-64.13412167140285,-33.98532895112152,-181.69346036787138,-139.38987454871292,-135892.8636809957
4.567456745674567,0.04162386107403689,18.841008542507296,-64.27638777771658,-33.98587268180841,-181.86750505385524,-138.79574985730108,-136347.22932756628
4.568456845684569,0.00686247561270741,18.65490375895067,-64.4180463945606,-33.986095220694345,-182.03935541145918,-138.20199774259936,-136806.3443850453
4.5694569456945695,-0.02789898608740583,18.468624323660336,-64.55909790713622,-33.986000052299524,-182.20902068150846,-137.6086262508749,-137270.290767507
4.570457045704571,-0.06266020053239195,18.28217246679009,-64.69954270882153,-33.985589048146565,-182.37651024200142,-137.01564332589757,-137739.1526040615
4.571457145714572,-0.09742083819779684,18.09555040816406,-64.83938120106666,-33.98486360274989,-182.54183350763898,-136.42305680963514,-138213.01631238946
4.572457245724573,-0.13218056097215733,17.908760357087573,-64.97861379329115,-33.98382447215262,-182.70499993929272,-135.83087444299235,-138691.9706810041
