t,x,y,z,v_x,v_y,v_z
-531.2831389183457,12.214961051940918,-49.57404327392578,-1.6545969247817993,-0.28844910860061646,0.43795308470726013,1.0377815961837769
-530.2226935312832,11.906344413757324,-49.09846878051758,-0.5536720156669617,-0.2936018705368042,0.4590320289134979,1.0384808778762817
-529.1622481442206,11.592266082763672,-48.600372314453125,0.5476667284965515,-0.29874876141548157,0.48043176531791687,1.0384809970855713
-528.101802757158,11.272736549377441,-48.07942199707031,1.6485769748687744,-0.3038800060749054,0.5021288990974426,1.0377429723739624
-527.0413573700954,10.94777774810791,-47.53531265258789,2.7484140396118164,-0.30898842215538025,0.5241110920906067,1.0364588499069214
-525.9809119830329,10.617416381835938,-46.967742919921875,3.8465969562530518,-0.31406763195991516,0.5463700294494629,1.0346198081970215
-524.9204665959703,10.281686782836914,-46.376426696777344,4.942525863647461,-0.31911084055900574,0.5688961148262024,1.0322033166885376
-523.8600212089077,9.940631866455078,-45.761085510253906,6.035574436187744,-0.32411083579063416,0.5916782021522522,1.0291842222213745
-522.7995758218452,9.594301223754883,-45.121456146240234,7.125091075897217,-0.32905980944633484,0.6147032380104065,1.025536298751831
-521.7391304347826,9.242753028869629,-44.4572868347168,8.210393905639648,-0.33394935727119446,0.6379563212394714,1.0212328433990479
-520.67868504772,8.886055946350098,-43.76834487915039,9.290772438049316,-0.3387705385684967,0.6614202260971069,1.0162465572357178
-519.6182396606575,8.524285316467285,-43.05441665649414,10.365490913391113,-0.3435138165950775,0.6850754618644714,1.0105501413345337
-518.5577942735949,8.15753173828125,-42.31531524658203,11.433778762817383,-0.3481690585613251,0.7089001536369324,1.004116177558899
-517.4973488865323,7.785892009735107,-41.55086898803711,12.494840621948242,-0.3527255654335022,0.7328696846961975,0.9969176054000854
-516.4369034994697,7.409478187561035,-40.76093673706055,13.547852516174316,-0.3571719527244568,0.7569567561149597,0.9889276027679443
-515.3764581124072,7.028412342071533,-39.94541549682617,14.591958999633789,-0.36149635910987854,0.7811312675476074,0.980120062828064
-514.3160127253446,6.642831325531006,-39.104225158691406,15.62628173828125,-0.365686297416687,0.805359959602356,0.9704700708389282
-513.255567338282,6.2528839111328125,-38.237327575683594,16.649913787841797,-0.36972886323928833,0.8296067714691162,0.9599538445472717
-512.1951219512196,5.858733654022217,-37.3447265625,17.66192626953125,-0.37361058592796326,0.8538322448730469,0.9485492706298828
-511.13467656415696,5.46055793762207,-36.42646408081055,18.661361694335938,-0.3773176372051239,0.877994179725647,0.9362362623214722
-510.0742311770944,5.058550834655762,-35.482635498046875,19.647253036499023,-0.3808358311653137,0.9020469188690186,0.9229970574378967
-509.0137857900318,4.652918815612793,-34.51337814331055,20.618606567382812,-0.38415083289146423,0.9259421229362488,0.9088168740272522
-507.9533404029693,4.243885517120361,-33.51888656616211,21.574417114257812,-0.38724803924560547,0.9496283531188965,0.893683910369873
-506.8928950159067,3.8316900730133057,-32.499412536621094,22.513671875,-0.3901129364967346,0.9730516672134399,0.8775901198387146
-505.83244962884413,3.416585922241211,-31.455263137817383,23.435348510742188,-0.39273110032081604,0.9961555600166321,0.8605316281318665
